Brand,Model,Year,Created On,Modified On
Lexus,LS 460 L AWD,2017,2016-09-26,2016-11-22
Lexus,NX 350 AWD,2022,2021-10-27,2022-10-13
Lexus,RX 350 AWD,2023,2022-11-30,2023-01-11
Lexus,GS 460,2009,2013-01-01,2013-01-01
Lexus,ES 300,1998,2013-01-01,2013-01-01
Lexus,SC 300/SC 400,1994,2013-01-01,2013-01-01
Lexus,LC 500h,2021,2020-05-05,2020-07-27
Lexus,IS 350,2021,2020-10-19,2021-04-26
Lexus,IS 250,2008,2013-01-01,2013-01-01
Lexus,RC 350 AWD,2018,2018-01-03,2018-02-06
Lexus,UX 250h AWD,2022,2021-09-14,2022-01-04
Lexus,RX 500h AWD,2024,2023-09-19,2024-05-29
Lexus,LS 460 L AWD,2015,2014-11-20,2016-09-26
Lexus,RX 400h 2WD,2006,2013-01-01,2020-06-02
Lexus,GS 300,1994,2013-01-01,2013-01-01
Lexus,UX 200,2020,2019-11-05,2020-04-17
Lexus,GS 300/GS 430,2006,2013-01-01,2013-01-01
Lexus,GS 350,2007,2013-01-01,2013-01-01
Lexus,LS 500 AWD,2019,2018-10-17,2018-12-03
Lexus,RX 350,2020,2019-08-29,2019-12-10
Lexus,RZ 450e AWD (20 inch Wheels),2023,2023-07-31,2023-09-07
Lexus,RX 350 AWD,2014,2013-01-01,2016-09-26
Lexus,GX 460,2020,2019-09-25,2020-02-05
Lexus,CT 200h,2017,2016-07-07,2016-11-22
Lexus,ES 300,1993,2013-01-01,2013-01-01
Lexus,LS 460,2012,2013-01-01,2016-09-26
Lexus,SC 300/SC 400,1997,2013-01-01,2013-01-01
Lexus,GS 300 F Sport,2018,2017-10-04,2017-12-20
Lexus,SC,1999,2013-01-01,2013-01-01
Lexus,RX 300 4WD,2000,2013-01-01,2013-01-01
Lexus,LS 500h AWD,2023,2022-11-07,2023-03-01
Lexus,GS 450h,2008,2013-01-01,2020-06-02
Lexus,HS 250h,2011,2013-01-01,2020-06-02
Lexus,RC 300,2019,2018-11-02,2018-12-18
Lexus,UX 250h AWD,2024,2023-04-27,2023-09-19
Lexus,LS 600h L,2012,2013-01-01,2020-06-02
