Brand,Model,Year,Created On,Modified On
Volvo,850,1996,2013-01-01,2013-01-01
Volvo,S70,1998,2013-01-01,2013-01-01
Volvo,S40 AWD,2005,2013-01-01,2013-01-01
Volvo,240 Wagon,1990,2013-01-01,2013-01-01
Volvo,C70 Convertible,2009,2013-01-01,2013-01-01
Volvo,S90 FWD,2017,2016-06-16,2017-04-11
Volvo,S40 AWD,2009,2013-01-01,2013-01-01
Volvo,C70 Convertible,1998,2013-01-01,2013-01-01
Volvo,S80 FWD,2014,2013-01-01,2016-09-26
Volvo,780,1990,2013-01-01,2013-01-01
Volvo,C70 Convertible,2009,2013-01-01,2013-01-01
Volvo,S90 AWD PHEV,2018,2017-08-28,2023-06-23
Volvo,S60 Inscription FWD,2017,2016-06-16,2017-04-11
Volvo,XC60 AWD,2021,2020-06-11,2021-04-26
Volvo,S40 FWD,2005,2013-01-01,2013-01-01
Volvo,740/760 Wagon,1988,2013-01-01,2013-01-01
Volvo,XC60 T8 AWD Recharge ext. Range,2022,2022-03-16,2023-06-23
Volvo,S70,1998,2013-01-01,2013-01-01
Volvo,S40 FWD,2007,2013-01-01,2013-01-01
Volvo,S60 FWD,2020,2019-06-11,2019-11-08
Volvo,S90 B6 AWD,2022,2021-07-12,2022-01-04
Volvo,V50 FWD,2010,2013-01-01,2013-01-01
Volvo,V70 FWD,2010,2013-01-01,2013-01-01
Volvo,C70 Convertible,2003,2013-01-01,2013-01-01
Volvo,V60 FWD,2019,2018-06-13,2018-12-18
Volvo,V70 FWD,1999,2013-01-01,2013-01-01
Volvo,850,1994,2013-01-01,2013-01-01
Volvo,C40 Recharge twin,2023,2022-08-11,2024-01-18
Volvo,850 Wagon,1997,2013-01-01,2013-01-01
Volvo,780,1987,2013-01-01,2013-01-01
Volvo,XC90 AWD,2020,2019-08-20,2019-11-08
Volvo,XC90 FWD,2006,2013-01-01,2017-01-18
Volvo,S60 T8 AWD Recharge ext. Range,2022,2022-03-16,2023-06-23
Volvo,C70 Convertible,2002,2013-01-01,2013-01-01
Volvo,XC90 AWD,2006,2013-01-01,2017-01-18
Volvo,740 Wagon,1989,2013-01-01,2013-01-01
Volvo,240 DL/240 GL,1989,2013-01-01,2013-01-01
Volvo,V50 FWD,2010,2013-01-01,2013-01-01
Volvo,740/760,1986,2013-01-01,2013-01-01
Volvo,C70 FWD,2010,2013-01-01,2013-01-01
Volvo,V50 FWD,2005,2013-01-01,2013-01-01
Volvo,740/760,1986,2013-01-01,2013-01-01
Volvo,V50 FWD,2006,2013-01-01,2013-01-01
Volvo,S60 FWD,2008,2013-01-01,2013-01-01
Volvo,940 Wagon,1993,2013-01-01,2013-01-01
